algo,target,mean_reward,std_reward,episodes,seed
A2C,0,0.05618237654891463,0.0,100,0
A2C,1,0.0,0.0,100,0
A2C,2,0.0,0.0,100,0
A2C,3,0.0006527455554846952,0.0,100,0
A2C,4,0.0,0.0,100,0
A2C,5,8.970147339518055e-11,2.5849394142282115e-26,100,0
A2C,6,0.42449811981017144,1.6653345369377348e-16,100,0
PPO,0,0.0,0.0,100,0
PPO,1,0.0,0.0,100,0
PPO,2,0.0,0.0,100,0
PPO,3,0.0,0.0,100,0
PPO,4,0.046113411000240516,1.3877787807814457e-17,100,0
PPO,5,0.0,0.0,100,0
PPO,6,0.0,0.0,100,0
SAC,0,0.16991144033182168,8.326672684688674e-17,100,0
SAC,1,0.17018259966713228,2.7755575615628914e-17,100,0
SAC,2,0.16923520238418657,0.0,100,0
SAC,3,0.17079472284388683,5.551115123125783e-17,100,0
SAC,4,0.1692869132261347,2.7755575615628914e-17,100,0
SAC,5,0.1688135990281604,5.551115123125783e-17,100,0
SAC,6,2.036094729149305,8.881784197001252e-16,100,0
TD3,0,0.009760028396940427,3.469446951953614e-18,100,0
TD3,1,0.036253374857825815,1.3877787807814457e-17,100,0
TD3,2,0.010801309768377803,3.469446951953614e-18,100,0
TD3,3,0.2532684913177235,5.551115123125783e-17,100,0
TD3,4,0.26299521181545654,0.0,100,0
TD3,5,0.2590963840384985,0.0,100,0
TD3,6,1.670836174998236,6.661338147750939e-16,100,0
